cell,x,y,Cluster
cell_1,1802.4937,1145.6134,Class1
cell_10,859.96674,866.19885,Class0
cell_100,993.6204,870.1706,Class0
cell_1000,1004.4775,766.2529,Class2
cell_1001,362.02155,781.8196,Class10
cell_1002,1345.5415,964.6761,Class3
cell_1003,968.47955,556.29095,Class6
cell_1004,1776.6215,1105.8269,Class1
cell_1005,1823.33,1099.6571,Class1
cell_1006,1804.3743,1138.714,Class1
cell_1007,1044.5876,970.51697,Class0
cell_1008,959.2392,851.95996,Class0
cell_1009,1189.1796,819.3659,Class2
cell_101,1207.8092,702.2971,Class2
cell_1010,1115.8267,566.3627,Class4
cell_1012,1262.6919,125.55752,Class11
cell_1013,1133.7786,1686.7051,Class7
cell_1014,934.8406,1002.97736,Class0
cell_1015,1117.895,1677.8019,Class7
cell_1016,1782.3191,1118.0344,Class1
cell_1017,1201.4548,713.24274,Class2
cell_1018,904.2698,769.92566,Class2
cell_1019,1255.6501,868.7337,Class3
cell_102,1108.521,805.8738,Class2
cell_1020,1227.5039,692.91943,Class2
cell_1022,1087.7356,760.077,Class2
cell_1023,933.44476,791.55676,Class2
cell_1024,877.1096,891.96454,Class0
cell_1025,774.44415,893.19,Class0
cell_1026,1192.8259,932.212,Class2
cell_1027,919.0684,833.5139,Class0
cell_1029,1262.6075,108.848,Class11
cell_103,963.27124,910.4456,Class0
cell_1030,1014.9899,695.3405,Class2
cell_1031,1123.6792,563.6051,Class4
cell_1032,1781.644,1079.7852,Class1
cell_1033,1002.85266,873.3446,Class0
cell_1034,1143.1387,1676.1257,Class7
cell_1035,755.80286,745.3025,Class8
cell_1036,1178.0071,879.3993,Class2
cell_1037,905.701,488.95477,Class6
cell_1039,906.0167,772.50006,Class2
cell_104,919.78284,793.1355,Class2
cell_1040,1784.5078,1127.1112,Class1
cell_1041,1760.9242,383.34164,Class13
cell_1042,1011.05664,787.6389,Class2
cell_1043,1769.8009,1110.6077,Class1
cell_1044,878.07837,854.891,Class0
cell_1045,1131.9729,1690.8712,Class7
cell_1046,913.3568,855.1512,Class0
cell_1048,1791.4835,1130.2501,Class1
cell_1049,1341.2979,971.4118,Class3
cell_105,863.6163,940.23975,Class0
