,Gene,y,x,cell,GeneColor
0,ANLN,281,918,cell_195,1
1,EXO1,1949,889,cell_1825,2
2,CTSL2_CTSV,367,1583,cell_311,3
3,GRB7,1032,1655,cell_903,4
4,CD8A,771,146,cell_667,5
5,EXO1,995,1756,cell_901,2
6,CD8A,1247,37,extracellular,5
7,MELK,592,198,cell_538,6
8,GRB7,1693,1383,cell_1598,4
9,NAT1,1863,124,extracellular,7
10,CD8A,1234,1415,cell_1127,5
11,EXO1,547,1350,cell_474,2
12,EXO1,1615,692,cell_1528,2
13,EXO1,321,1796,cell_294,2
14,CD8A,326,445,cell_292,5
15,GRB7,650,508,cell_589,4
16,EXO1,1401,100,cell_1319,2
17,MELK,484,1596,cell_408,6
18,CD8A,587,1339,cell_521,5
19,EXO1,24,1325,cell_12,2
20,EXO1,24,1183,cell_41,2
21,CD8A,1554,1555,cell_1456,5
22,CD8A,701,1451,cell_618,5
23,NAT1,850,1516,cell_740,7
24,NAT1,1297,319,cell_1207,7
25,EXO1,537,1536,cell_456,2
26,CD8A,330,1603,cell_311,5
27,EXO1,185,1000,cell_161,2
28,EXO1,333,1283,cell_274,2
29,CD8A,415,140,cell_342,5
30,CD8A,1993,336,cell_1864,5
31,CD8A,581,1314,cell_467,5
32,EXO1,1657,9,extracellular,2
33,NAT1,456,516,cell_385,7
34,CD8A,155,298,cell_117,5
35,EXO1,1196,1503,cell_1105,2
36,CD8A,1471,1046,cell_1348,5
37,PTTG1,783,165,cell_684,8
38,EXO1,206,1316,extracellular,2
39,PTTG1,134,921,cell_120,8
40,CD8A,393,637,cell_349,5
41,CD8A,1354,1126,cell_1280,5
42,NAT1,769,1422,cell_676,7
43,MLPH,1565,43,cell_1455,9
44,FOXC1,1954,1324,cell_1834,10
45,CCNE1,1201,6,extracellular,11
46,EXO1,164,1912,cell_132,2
47,EXO1,404,1057,cell_373,2
48,GRB7,104,1259,cell_73,4
49,CD8A,654,1711,cell_593,5
50,FOXC1,158,1737,cell_152,10
51,CD8A,1373,1685,cell_1297,5
52,CD8A,701,741,cell_600,5
53,CD8A,225,908,cell_164,5
54,GRB7,1837,1594,cell_1747,4
55,EXO1,393,1614,cell_353,2
56,EXO1,709,1600,cell_634,2
57,EXO1,543,1351,cell_474,2
58,EXO1,1711,805,cell_1575,2
59,EXO1,292,1003,cell_225,2
60,EXO1,1862,446,cell_1772,2
61,GRB7,886,1804,extracellular,4
62,NAT1,443,328,cell_382,7
63,GRB7,1892,1486,cell_1789,4
64,FOXC1,1541,1967,cell_1425,10
65,CD8A,1762,766,cell_1640,5
66,EXO1,500,400,cell_420,2
67,MMP11,546,1031,cell_507,12
68,CD8A,564,625,cell_470,5
69,EXO1,1813,589,cell_1729,2
70,CTSL2_CTSV,1970,531,cell_1868,3
71,GRB7,1871,196,cell_1781,4
72,GRB7,1272,1190,cell_1174,4
73,CD8A,1363,914,cell_1279,5
74,FOXC1,676,1357,cell_603,10
75,CD8A,310,247,cell_267,5
76,CD8A,982,1470,cell_866,5
77,GRB7,1467,71,cell_1386,4
78,CD8A,514,1662,cell_427,5
79,CD8A,1286,466,extracellular,5
80,CD8A,1694,1284,cell_1602,5
81,CD8A,891,379,cell_770,5
82,CD8A,1390,1705,cell_1323,5
83,NAT1,1975,1202,cell_1863,7
84,CD8A,1711,915,cell_1614,5
85,EXO1,1180,1473,cell_1067,2
86,EXO1,664,1747,cell_582,2
87,EXO1,1332,638,cell_1256,2
88,EXO1,1768,737,cell_1678,2
89,EXO1,323,1666,cell_261,2
90,GRB7,1323,47,cell_1192,4
91,EXO1,1770,1138,cell_1663,2
92,CD8A,970,166,cell_842,5
93,GRB7,501,1907,cell_428,4
94,PTTG1,342,1970,cell_284,8
95,EXO1,1356,1498,cell_1274,2
96,CD8A,150,805,cell_116,5
97,GRB7,1314,762,cell_1221,4
98,EXO1,1761,1204,cell_1682,2
99,CD8A,1756,1186,cell_1645,5
100,CD8A,701,740,cell_600,5
101,EXO1,1026,1525,cell_917,2
102,CD8A,1209,1091,cell_1125,5
103,MLPH,605,1072,cell_544,9
104,CD8A,388,1188,cell_366,5
105,NAT1,741,1956,cell_628,7
106,CD8A,1280,427,cell_1181,5
107,MELK,671,1511,cell_598,6
108,GRB7,1149,639,cell_1033,4
109,CD8A,252,1867,cell_215,5
110,MLPH,408,769,extracellular,9
111,EXO1,474,952,cell_406,2
112,PTTG1,993,1473,cell_866,8
113,NAT1,1202,336,cell_1115,7
114,EXO1,543,1854,cell_503,2
115,EXO1,716,169,cell_636,2
116,EXO1,1790,585,cell_1693,2
117,EXO1,1496,588,cell_1406,2
118,CD8A,493,1142,cell_419,5
119,CD8A,1718,1658,extracellular,5
120,GRB7,652,1674,cell_570,4
121,EXO1,642,1963,cell_565,2
122,CD8A,1726,438,extracellular,5
123,CD8A,453,431,cell_398,5
124,GRB7,570,1416,cell_473,4
125,EXO1,375,1629,cell_330,2
126,EXO1,1725,84,cell_1642,2
127,CTSL2_CTSV,1943,164,cell_1838,3
128,FOXC1,131,1965,cell_93,10
129,EXO1,632,1387,cell_581,2
